6:58:42,62.3911
6:58:43,62.4507
6:58:44,58.6262
6:58:45,59.8322
6:58:46,62.7432
6:58:47,61.1711
6:58:49,59.5043
6:58:49,58.9882
6:58:51,59.1637
6:58:52,62.2094
6:58:53,69.92
6:58:54,60.5273
6:58:55,63.8742
6:58:57,61.0321
6:58:57,62.0239
6:58:58,62.5689
6:58:59,68.291
6:59:0,65.4831
6:59:2,66.6952
6:59:5,63.3539
6:59:5,62.6855
6:59:7,63.1368
6:59:7,68.2606
6:59:8,66.5108
6:59:9,70.3618
6:59:11,65.7313
6:59:11,61.3079
6:59:12,60.9617
6:59:14,78.7455
6:59:17,61.8344
6:59:17,61.7703
6:59:19,66.6952
6:59:20,69.742
6:59:21,62.3309
6:59:22,62.4507
6:59:23,61.0321
6:59:24,59.6698
6:59:25,59.7513
6:59:26,61.6407
6:59:27,60.9617
6:59:28,59.2501
6:59:29,60.2252
6:59:30,69.9703
6:59:31,59.8322
6:59:32,63.246
6:59:33,60.9617
6:59:34,74.357
6:59:35,68.5895
6:59:36,58.8991
6:59:37,57.4399
6:59:39,56.7799
6:59:40,57.4399
6:59:41,60.148
6:59:42,56.5483
6:59:45,57.4399
6:59:45,55.5545
6:59:46,57.6493
6:59:47,70.4807
6:59:48,56.7799
6:59:49,57.8536
6:59:52,58.1515
6:59:52,63.618
6:59:54,56.5483
6:59:55,57.6493
6:59:56,61.7058
6:59:57,60.6746
6:59:58,60.7473
6:59:59,60.0701
7:0:4,63.618
7:0:5,64.6468
7:0:5,59.6698
7:0:6,60.6746
7:0:7,60.8193
7:0:8,63.1916
7:0:9,63.7726
7:0:10,57.5452
7:0:12,58.6262
7:0:12,61.3079
7:0:13,63.7214
7:0:14,62.7432
7:0:15,62.148
7:0:19,63.5134
7:0:20,57.9541
7:0:21,66.0121
7:0:22,58.0533
7:0:26,59.5875
7:0:26,62.6855
7:0:27,63.0261
7:0:28,62.0239
7:0:32,62.6274
7:0:33,60.0701
7:0:34,60.3776
7:0:35,58.2485
7:0:37,57.9541
7:0:38,58.8991
7:0:38,58.6262
7:0:39,59.5875
7:0:40,59.5875
7:0:42,57.8536
7:0:42,62.6274
7:0:43,67.2603
7:0:54,65.053
7:0:55,69.0189
7:0:56,66.585
7:0:57,64.2691
7:0:58,60.6746
7:0:59,61.1019
7:1:0,59.6698
7:1:2,61.7058
7:1:2,59.8322
7:1:3,59.5875
7:1:4,64.0244
7:1:5,63.0261
7:1:6,63.8742
7:1:7,62.7432
7:1:8,64.3172
7:1:10,65.7313
7:1:10,67.1224
7:1:11,64.0739
7:1:12,61.9612
7:1:14,60.3018
7:1:15,61.2397
7:1:15,58.8091
7:1:17,78.9705
7:1:18,58.1515
7:1:19,62.2094
7:1:20,61.7058
7:1:21,61.1019
7:1:22,64.2691
7:1:23,58.8091
7:1:24,59.6698
7:1:25,61.2397
7:1:26,61.5751
