time (s),Left (avg),Left,Right (avg),Right
18.661,82,81,81,81
18.73,82,82,81,81
18.799,82,81,81,81
18.868,82,82,81,81
18.937,82,81,81,81
19.006,82,82,81,81
19.078,82,81,81,81
19.147,82,81,81,81
19.216,82,82,81,81
19.285,82,81,81,81
19.356,82,82,81,81
19.425,82,81,81,81
19.496,82,81,81,81
19.565,82,81,81,81
19.634,82,81,81,81
19.703,82,82,81,81
19.772,82,81,81,81
19.841,82,82,81,81
19.91,82,81,81,81
19.981,82,81,81,81
20.05,82,82,81,81
20.119,82,82,81,81
20.188,82,82,81,81
20.257,82,81,81,81
20.328,82,82,81,81
20.397,82,82,81,81
20.468,82,81,81,81
20.537,82,81,81,81
20.606,82,82,81,81
20.675,82,82,81,81
20.744,82,81,81,81
20.813,82,81,81,81
20.882,82,82,81,81
20.952,82,81,81,81
21.022,82,81,81,81
21.091,82,82,81,81
21.169,82,82,81,81
21.238,82,82,81,81
21.309,82,82,81,81
21.378,82,81,81,81
21.449,82,82,81,81
21.518,82,82,81,81
21.587,82,82,81,81
21.656,82,81,81,81
21.725,82,81,81,81
21.794,82,82,81,81
21.865,82,82,81,81
21.934,82,82,81,81
22.003,82,81,81,81
22.072,82,82,81,81
22.141,82,81,81,81
22.21,82,82,81,81
22.279,82,81,81,81
22.352,82,82,81,81
22.421,82,81,81,81
22.49,82,81,81,81
22.56,82,81,81,81
22.628,82,82,81,81
22.697,82,82,81,81
22.767,82,82,81,81
22.837,82,82,81,81
22.906,82,82,81,81
22.975,82,82,81,81
23.044,82,82,81,81
23.113,82,81,81,81
23.182,82,81,81,81
23.251,82,81,81,81
23.324,82,82,81,81
23.393,82,81,81,81
23.462,82,82,81,81
23.531,82,82,81,81
23.6,82,82,81,81
23.669,82,81,81,81
23.74,82,81,81,81
23.809,82,82,81,81
23.878,82,82,81,81
23.947,82,82,81,81
24.016,82,82,81,81
24.085,82,82,81,81
24.154,82,82,81,81
24.225,82,82,81,81
24.295,82,82,81,81
24.366,82,82,81,81
24.435,82,82,81,81
24.505,82,82,81,81
24.573,82,81,81,81
24.642,82,81,81,81
24.713,82,82,81,81
24.782,82,82,81,81
24.851,82,81,81,81
24.92,82,82,81,81
24.989,82,82,81,81
25.058,82,81,81,81
25.127,82,81,81,81
25.198,82,82,81,81
25.268,82,81,81,81
25.339,82,82,81,81
25.408,82,81,81,81
25.477,82,81,81,81
25.546,82,82,81,81
25.615,82,81,81,81
25.686,82,81,81,81
25.755,82,81,81,81
25.824,82,81,81,81
25.893,82,82,81,81
25.962,82,81,81,81
26.031,82,81,81,81
26.102,82,82,81,81
26.171,82,81,81,81
26.24,82,82,81,81
26.309,82,81,81,81
26.38,82,82,81,81
26.45,82,82,81,81
26.518,82,82,81,81
26.588,82,82,81,81
26.658,82,81,81,81
26.726,82,82,81,81
26.795,82,81,81,81
26.865,82,81,81,81
26.933,82,81,81,81
27.002,82,81,81,81
27.073,82,81,81,81
27.142,82,81,81,81
27.211,82,81,81,81
27.28,82,82,81,81
27.351,82,82,81,81
27.42,82,81,81,81
27.489,82,82,81,81
27.56,82,81,81,81
27.629,82,82,81,81
27.698,82,81,81,81
27.767,82,81,81,81
27.836,82,82,81,81
27.905,82,81,81,81
27.974,82,82,81,81
28.045,82,81,81,81
28.123,82,81,81,81
28.193,82,81,81,81
28.261,82,81,81,81
28.33,82,81,81,81
28.401,82,81,81,81
28.472,82,81,81,81
28.541,82,82,81,81
28.61,82,81,81,81
28.679,82,81,81,81
28.748,82,82,81,81
28.817,82,82,81,81
28.886,82,81,81,81
28.957,82,82,81,81
29.026,82,81,81,81
29.095,82,81,81,81
29.164,82,82,81,81
29.233,82,81,81,81
29.302,82,82,81,81
29.373,82,81,81,81
29.443,82,82,81,81
29.512,82,81,81,81
29.581,82,82,81,81
29.65,82,82,81,81
29.719,82,82,81,81
29.788,82,81,81,81
29.857,82,82,81,81
29.929,82,81,81,81
29.998,82,82,81,81
30.067,82,81,81,81
30.136,82,81,81,81
30.205,82,81,81,81
30.274,82,81,81,81
30.346,82,82,81,81
30.417,82,82,81,81
30.486,82,82,81,81
30.555,82,82,81,81
30.624,82,82,81,81
30.693,82,82,81,81
30.762,82,82,81,81
30.879,82,81,81,81
30.949,82,81,81,81
31.018,82,82,81,81
31.087,82,82,81,81
31.156,82,81,81,81
31.225,82,81,81,81
31.296,82,82,81,81
31.366,82,81,81,81
31.436,82,81,81,81
31.505,82,81,81,81
31.575,82,81,81,81
31.643,82,81,81,81
31.712,82,82,81,81
31.783,82,81,81,81
31.852,82,82,81,81
31.921,82,82,81,81
31.99,82,81,81,81
32.059,82,82,81,81
32.128,82,81,81,81
32.197,82,82,81,81
32.268,82,82,81,81
32.337,82,82,81,81
32.406,82,81,81,81
32.477,82,82,81,81
32.546,82,82,81,81
32.615,82,81,81,81
32.684,82,82,81,81
32.755,82,82,81,81
32.825,82,82,81,81
32.894,82,82,81,81
32.963,82,82,81,81
33.032,82,81,81,81
33.101,82,82,81,81
33.172,82,82,81,81
33.241,82,82,81,81
33.311,82,81,81,81
33.399,82,81,81,82
33.467,82,82,81,81
33.536,82,81,81,81
33.605,82,82,81,81
33.676,82,81,81,81
33.745,82,82,81,81
33.814,82,81,81,81
33.883,82,81,81,81
33.952,82,82,81,81
34.022,82,81,81,81
34.09,82,81,81,81
34.16,82,81,81,81
34.23,82,82,81,81
34.298,82,82,81,81
34.367,82,82,81,81
34.439,82,82,81,81
34.507,82,82,81,81
34.576,82,81,81,81
34.647,82,81,81,81
34.717,82,82,81,81
34.786,82,82,81,81
34.855,82,82,81,81
34.924,82,82,81,81
34.993,82,82,81,81
35.062,82,82,81,81
35.142,82,82,81,81
35.211,82,81,81,81
35.28,82,82,81,81
35.349,82,81,81,81
35.42,82,81,81,81
35.489,82,82,81,81
35.561,82,82,81,81
35.63,82,81,81,81
35.699,82,81,81,81
35.769,82,82,81,81
35.837,82,82,81,81
35.906,82,81,81,81
35.976,82,81,81,81
36.046,82,81,81,81
36.115,82,81,81,81
36.184,82,82,81,81
36.253,82,81,81,81
36.322,82,82,81,81
36.391,82,82,81,81
36.462,82,82,81,81
36.533,82,81,81,81
36.602,82,81,81,81
36.671,82,81,81,81
36.74,82,82,81,81
36.809,82,82,81,81
36.878,82,82,81,81
36.947,82,81,81,81
37.018,82,82,81,81
37.087,82,81,81,81
37.156,82,81,81,81
37.225,82,82,81,81
37.294,82,81,81,81
37.363,82,81,81,81
37.435,82,82,81,81
37.504,82,82,81,81
37.573,82,82,81,81
37.642,82,82,81,81
37.712,82,82,81,81
37.78,82,82,81,81
37.849,82,82,81,81
37.921,82,82,81,81
37.99,82,82,81,81
38.059,82,82,81,81
38.128,82,82,81,81
38.197,82,82,81,81
38.266,82,82,81,81
38.335,82,82,81,81
38.406,82,82,81,81
38.477,82,82,81,81
38.546,82,82,81,81
38.615,82,81,81,79
38.684,82,82,81,81
38.753,82,81,81,81
38.829,82,82,81,39
38.914,82,59,81,33
39.007,82,31,81,88
39.102,82,82,81,218
39.225,82,84,81,350
39.306,82,39,81,38
39.382,82,36,81,81
39.461,82,40,81,80
39.548,82,83,81,80
39.617,82,81,81,81
39.686,82,82,81,81
39.755,82,82,81,81
39.824,82,81,81,81
39.893,82,82,81,81
39.965,82,81,81,81
40.052,82,81,81,82
40.122,82,82,81,81
40.209,82,82,81,82
40.279,82,82,81,81
40.347,82,81,81,81
40.416,82,82,81,81
40.488,82,82,81,81
40.557,82,82,81,81
40.626,82,81,81,81
40.695,82,82,81,81
40.764,82,81,81,81
40.833,82,81,81,81
40.902,82,82,81,81
40.973,82,82,81,81
41.044,82,82,81,81
41.113,82,81,81,81
41.182,82,81,81,81
41.251,82,82,81,81
41.32,82,82,81,81
41.392,82,81,81,81
41.462,82,82,81,81
41.53,82,82,81,81
41.599,82,82,81,81
41.668,82,82,81,81
41.737,82,82,81,81
41.806,82,82,81,81
41.877,82,82,81,81
41.946,82,81,81,81
42.016,82,82,81,81
42.086,82,81,81,81
42.155,82,82,81,81
42.225,82,82,81,81
42.302,82,81,81,81
42.372,82,81,81,81
42.441,82,81,81,81
42.51,82,82,81,81
42.579,82,81,81,81
42.648,82,81,81,81
42.717,82,82,81,81
42.786,82,82,81,81
42.857,82,82,81,81
42.926,82,82,81,81
42.995,82,83,81,81
43.066,82,81,81,81
43.135,82,82,81,81
43.204,82,82,81,81
43.275,82,82,81,81
43.345,82,82,81,81
43.413,82,81,81,81
43.482,82,81,81,81
43.569,82,82,81,82
43.638,82,82,81,81
43.707,82,82,81,81
43.778,82,82,81,81
43.848,82,82,81,81
43.916,82,81,81,81
43.985,82,81,81,81
44.056,82,81,81,81
44.125,82,81,81,81
44.194,82,82,81,81
44.284,82,82,81,82
44.352,82,82,81,81
44.421,82,82,81,81
44.508,82,83,81,81
44.62,82,0,81,82
44.721,82,0,81,42
44.841,82,0,81,0
44.956,82,94,81,0
45.052,82,81,81,0
45.138,82,82,81,84
45.207,82,82,81,80
45.276,82,82,81,80
45.363,82,81,81,82
45.432,82,81,81,81
45.522,82,81,81,82
45.591,82,82,81,81
45.659,82,82,81,81
45.728,82,81,81,81
45.797,82,82,81,81
45.866,82,81,81,81
45.939,82,82,81,81
46.009,82,81,81,81
46.077,82,81,81,80
46.147,82,82,81,80
46.216,82,82,81,81
46.284,82,82,81,81
46.353,82,81,81,81
46.467,82,81,81,81
46.537,82,81,81,80
46.606,82,81,81,81
46.675,82,82,81,81
46.745,82,81,81,80
46.831,82,81,81,82
46.9,82,81,81,81
46.972,82,82,81,81
47.041,82,82,81,81
47.11,82,81,81,81
47.179,82,81,81,81
47.248,82,82,81,81
47.317,82,82,81,80
47.386,82,81,81,81
47.456,82,82,81,81
47.525,82,82,81,81
47.594,82,81,81,81
47.663,82,81,81,81
47.732,82,82,81,81
47.801,82,82,81,81
47.872,82,82,81,81
47.944,82,81,81,81
48.013,82,82,81,81
48.082,82,82,81,81
48.151,82,82,81,81
48.22,82,81,81,81
48.289,82,81,81,81
48.361,82,81,81,81
48.43,82,81,81,81
48.499,82,81,81,81
48.569,82,81,81,81
48.637,82,82,81,81
48.706,82,81,81,81
48.776,82,82,81,80
48.846,82,82,81,81
48.916,82,81,81,81
48.987,82,81,81,81
49.056,82,82,81,81
49.125,82,81,81,81
49.194,82,81,81,81
49.281,82,82,81,82
49.351,82,81,81,80
49.42,82,81,81,81
49.49,82,81,81,81
49.558,82,81,81,81
49.654,82,81,81,82
49.722,82,81,81,81
49.791,82,81,81,81
49.864,82,82,81,81
49.933,82,81,81,81
50.003,82,82,81,81
50.071,82,82,81,81
50.14,82,82,81,81
50.21,82,82,81,81
50.28,82,82,81,81
50.349,82,81,81,81
50.418,82,82,81,81
50.487,82,82,81,81
50.556,82,82,81,81
50.625,82,82,81,81
50.694,82,81,81,81
50.765,82,81,81,80
50.834,82,82,81,80
50.905,82,82,81,81
50.974,82,82,81,81
51.043,82,82,81,81
51.112,82,81,81,81
51.181,82,81,81,81
51.252,82,82,81,81
51.321,82,82,81,81
51.39,82,82,81,81
51.459,82,82,81,81
51.528,82,82,81,81
51.597,82,82,81,81
51.666,82,82,81,81
51.738,82,82,81,81
51.807,82,82,81,81
51.878,82,82,81,81
51.965,82,82,81,82
52.034,82,82,81,81
52.103,82,82,81,81
52.174,82,82,81,81
52.244,82,81,81,81
52.313,82,81,81,81
52.382,82,82,81,81
52.451,82,82,81,81
52.52,82,82,81,81
52.589,82,82,81,81
52.661,82,82,81,81
52.73,82,81,81,81
52.799,82,82,81,81
52.871,82,82,81,81
52.939,82,82,81,80
53.008,82,82,81,80
53.078,82,81,81,81
53.148,82,82,81,81
53.218,82,81,81,81
53.287,82,82,81,81
53.356,82,82,81,81
53.425,82,82,81,81
53.494,82,81,81,81
53.563,82,82,81,81
53.633,82,82,81,81
53.703,82,82,81,81
53.772,82,82,81,81
53.841,82,82,81,81
53.912,82,82,81,81
53.981,82,82,81,81
54.052,82,82,81,81
54.121,82,82,81,81
54.19,82,82,81,81
54.259,82,82,81,81
54.328,82,82,81,81
54.397,82,82,81,81
54.466,82,82,81,81
54.536,82,81,81,81
54.605,82,81,81,81
54.674,82,82,81,81
54.743,82,82,81,81
54.812,82,81,81,81
54.883,82,82,81,81
54.952,82,81,81,81
55.024,82,82,81,81
55.093,82,82,81,81
55.162,82,82,81,81
55.231,82,82,81,81
55.3,82,82,81,81
55.369,82,81,81,81
55.438,82,81,81,81
55.509,82,82,81,81
55.579,82,82,81,81
55.648,82,82,81,81
55.717,82,82,81,81
55.786,82,81,81,80
55.855,82,82,81,81
55.926,82,82,81,81
55.997,82,82,81,81
56.066,82,82,81,81
56.135,82,82,81,81
56.204,82,82,81,81
56.273,82,82,81,80
56.342,82,81,81,81
56.413,82,82,81,81
56.482,82,82,81,81
56.552,82,82,81,81
56.629,82,82,81,81
56.697,82,82,81,81
56.766,82,82,81,81
56.835,82,82,81,81
56.908,82,82,81,81
56.977,82,81,81,81
57.046,82,82,81,81
57.115,82,82,81,81
57.184,82,82,81,80
57.253,82,82,81,81
57.322,82,82,81,81
57.393,82,82,81,81
57.462,82,82,81,81
57.531,82,82,81,81
57.6,82,82,81,81
57.687,82,81,81,82
57.774,82,82,81,82
57.845,82,82,81,81
57.916,82,81,81,81
57.985,82,82,81,81
58.072,82,82,81,82
58.141,82,82,81,81
58.21,82,82,81,81
58.279,82,82,81,81
58.35,82,81,81,81
58.419,82,82,81,81
58.488,82,82,81,81
58.557,82,82,81,81
58.626,82,82,81,81
58.695,82,82,81,81
58.764,82,82,81,81
58.836,82,81,81,81
58.905,82,82,81,81
58.974,82,82,81,81
59.043,82,81,81,81
59.113,82,82,81,81
59.181,82,81,81,81
59.25,82,82,81,81
59.322,82,82,81,81
59.391,82,81,81,81
59.46,82,82,81,81
59.529,82,81,81,81
59.598,82,82,81,81
59.667,82,82,81,81
59.736,82,82,81,81
59.809,82,82,81,81
59.879,82,82,81,81
59.948,82,82,81,81
60.017,82,81,81,81
60.086,82,82,81,81
60.155,82,82,81,81
60.224,82,82,81,81
60.294,82,81,81,81
60.363,82,82,81,81
60.432,82,81,81,81
60.501,82,82,81,81
60.57,82,82,81,81
60.639,82,82,81,81
60.71,82,82,81,81
60.779,82,81,81,81
60.85,82,81,81,81
60.919,82,82,81,81
60.988,82,82,81,81
61.057,82,82,81,81
61.126,82,81,81,81
61.196,82,82,81,81
61.267,82,82,81,81
61.335,82,81,81,81
61.404,82,81,81,81
61.474,82,82,81,81
61.542,82,81,81,81
61.611,82,82,81,81
61.724,82,82,81,81
61.793,82,82,81,81
61.864,82,82,81,81
61.933,82,82,81,81
62.002,82,81,81,81
62.071,82,82,81,81
62.142,82,82,81,81
62.211,82,81,81,81
62.28,82,81,81,81
62.349,82,82,81,81
62.418,82,82,81,81
62.487,82,81,81,81
62.556,82,81,81,81
62.627,82,81,81,81
62.696,82,81,81,81
62.765,82,81,81,81
62.834,82,81,81,81
62.906,82,81,81,81
62.974,82,81,81,81
63.043,82,82,81,81
63.115,82,82,81,81
63.184,82,81,81,81
63.253,82,81,81,81
63.322,82,82,81,81
63.391,82,82,81,81
63.46,82,81,81,81
63.531,82,81,81,81
63.6,82,81,81,81
63.678,82,81,81,81
63.747,82,82,81,81
63.816,82,81,81,81
63.887,82,81,81,81
63.956,82,81,81,81
64.028,82,82,81,81
64.097,82,81,81,81
64.166,82,81,81,81
64.236,82,81,81,81
64.304,82,81,81,81
64.373,82,82,81,81
64.442,82,82,81,81
64.513,82,81,81,81
64.582,82,82,81,81
64.651,82,82,81,81
64.72,82,81,81,81
64.789,82,81,81,81
64.86,82,82,81,81
64.929,82,81,81,81
65.0,82,82,81,81
65.069,82,81,81,81
65.138,82,82,81,81
65.207,82,82,81,81
65.276,82,82,81,81
65.345,82,82,81,81
65.414,82,81,81,81
65.484,82,82,81,81
65.553,82,82,81,81
65.622,82,81,81,81
65.691,82,81,81,81
65.76,82,82,81,81
65.829,82,82,81,81
65.901,82,82,81,81
65.971,82,81,81,81
66.04,82,82,81,81
66.109,82,81,81,81
66.196,82,82,81,82
66.283,82,82,81,82
66.352,82,82,81,81
66.422,82,82,81,81
66.492,82,82,81,81
66.56,82,82,81,81
66.629,82,82,81,81
66.698,82,81,81,81
66.767,82,81,81,81
66.838,82,82,81,81
66.909,82,81,81,81
66.978,82,82,81,81
67.047,82,81,81,81
67.116,82,82,81,81
67.185,82,81,81,81
67.254,82,81,81,81
67.323,82,82,81,81
67.394,82,81,81,81
67.463,82,82,81,81
67.532,82,81,81,81
67.601,82,81,81,81
67.67,82,82,81,81
67.739,82,82,81,81
67.812,82,81,81,81
67.881,82,82,81,81
67.95,82,82,81,81
68.019,82,81,81,81
68.088,82,81,81,81
68.157,82,82,81,81
68.226,82,81,81,81
68.297,82,82,81,81
68.366,82,82,81,81
68.436,82,82,81,81
68.504,82,82,81,81
68.573,82,82,81,81
68.643,82,82,81,81
68.711,82,82,81,81
68.782,82,82,81,81
68.853,82,82,81,81
68.922,82,82,81,81
68.991,82,82,81,81
69.06,82,82,81,81
69.129,82,82,81,81
69.198,82,81,81,81
69.269,82,82,81,81
69.338,82,81,81,81
69.407,82,82,81,81
69.476,82,82,81,81
69.545,82,81,81,81
69.614,82,81,81,81
69.683,82,81,81,81
69.754,82,82,81,81
69.825,82,82,81,81
69.894,82,82,81,81
69.963,82,81,81,81
70.032,82,81,81,81
70.101,82,82,81,81
70.191,82,82,81,82
70.259,82,81,81,81
70.328,82,82,81,81
70.397,82,81,81,81
70.466,82,81,81,81
70.535,82,82,81,81
70.604,82,82,81,81
